node_id,name,in_corpus,case,year
810952,"Bhagu Jetha  v.
Malick Bawasaheb",False,,
1747121,Kannu Pillay v.  Chellathammal,False,,
1550731,"Sri Raja Venkata  Lingama  Nayanim Bahadur	Varu
and  Another  v. Raja Inuganti Rajaopala  Venkata  Narasimha
Rayanim Bahadur Varu",False,,
1968370,"M.R.M.A.S.P. Ramathan Chefliar v. Mahalingam
Chetti",False,,
102957838,section	 48,False,,
1652416,1)  Vide Angurbala v. Debabrata,True,Angurbala_Mullick_vs_Debabrata_Mullick_on_3_May_1951,1951.0
80896406,Hindu Women's Rights to Property Act,False,,
814692,Umayal Achi v. Lakshmi Achi,False,,
1011888,article 133(1)(c),False,,
170412617,section 3,False,,
94477507,5,False,,
242776,Vidya Varuti v. Balusami,False,,
1012363,Ganesh Chunder Dhur v. Lal Behary,False,,
987299,Bhabatarini v. Ashalata,False,,
196373842,Section 2,False,,
45753236,Section 3(1),False,,
31991320,Section 4,False,,
530170,section 30,False,,
137951398,section 3(3),False,,
1241624,P. Suryanarayanacharyulu v. P. Seshamma,False,,
435006,,True,Annagouda_Nathgouda_Patil_vs_Court_Of_Wards_And_Another_on_17_December_1951,1951.0
65650791,section  2,False,,
64136097,section 1 (2),False,,
198655496,Sec. 9,False,,
1834462,Kuppuswami v Manickasari (A.I.R.,False,,
396336,,True,Bhagwati_Prasad_Sah_And_Others_vs_Dulhin_Rameshwari_Juerand_Another_on_7_May_1951,1951.0
191925,s. 32(3),False,,
619381,Bal  Krishna  v. Ram Krishna,False,,
1917328,"1)	and  Palaniammal  v.
Muthuvenkatachala",False,,
913910,section 32 (7),False,,
955216,section 13 (a),False,,
684433,"Bishnudeo  Narain  v.
	      Seogeni Rai and Jagernath",True,Bishundeo_Narain_And_Another_vs_Seogeni_Rai_And_Jagernath_on_4_May_1951,1951.0
904979,,True,Chandrasingh_Manibhai_And_Others_vs_Surjit_Lal_Ladhamal_Chhabdaand_Others_on_23_February_1951,1951.0
163138661,"Bombay Rents, Hotel and Lodging House Rates	 Control Act",False,,
28802319,ss. 12,False,,
118534992,50,False,,
80042,section 106,False,,
131397183,section 11,False,,
135275,Nilkanth v. Rasiklal (J,False,,
29397628,"section
28",False,,
1684167,,True,Chinnathayi_Alias_Veeralakshmi_vs_Kulasekara_Pandiya_Naickerand_on_14_December_1951,1951.0
461032,Sivagnana  Tevar v. Periasami,False,,
970959,"Thakurani  Tara Kumari  v.
Chaturbhuj Narayan Singh",False,,
128918,Konammal v. Annadana,False,,
1733204,Collector  of Gorakhpur v. Ram	Sundar	Mal,False,,
272113,Sri  Raja Lakshmi Devi Garu v.  Sri Raja Surya  Nara-,False,,
