doc_id,case,community,subcommunity,out_citations,in_citations
129750439,Vikas Yadav vs State Of U.P And Ors. Etc. Etc,0,1,16,7
498126,"Pt. Parmanand Katara vs Union Of India & Ors on 28 August, 1989",0,1,0,6
104249035,104249035,0,1,10,5
137854586,"Cuddalore Powergen Corporation Ltd vs M/S Chemplast Cuddalore Vinyls Limited ... on 15 January, 2025",0,1,7,0
149575212,Dipakbhai Jagdishchndra Patel vs The State Of Gujarat,0,1,1,0
228570,Waverly Jute Mills Co Ltd vs Raymon Co India Private Ltd And on 4 May 1964,0,1,1,3
117627977,National Investigation Agency vs Zahoor Ahmad Shah Watali,0,1,5,2
560071,560071,0,1,3,3
235821,"Aruna Ramchandra Shanbaug vs Union Of India & Ors on 7 March, 2011",0,1,3,3
123238150,Federation Of Obstetrics And ... vs Union Of India,0,1,13,0
156872511,Sonu @ Sunil vs The State Of Madhya Pradesh,0,1,1,0
1511268,"Bhagwan Swarup And Anr vs State Of Rajasthan on 28 August, 1991",0,1,0,2
190237958,"State Tr.P.S.Lodhi Colony,New Delhi vs Sanjeev Nanda on 3 August, 2012",0,1,4,4
1428293,"Bishan Das And Others vs The State Of Punjab And Others on 19 April, 1961",0,1,2,6
92846055,Shakti Vahini vs Union Of India,0,1,5,6
1406714,"The Swadeshi Cotton Mills Co. Limited vs The State Of U. P. And Others(And ... on 17 March, 1961",0,1,0,2
115716872,"Mukesh Singh vs The State (Nct Of Delhi) on 24 August, 2023",0,1,4,0
1747577,Satwant Singh Sawhney vs D Ramarathnam Assistant Passport on 10 April 1967,0,1,1,9
17021567,"Re-Ramlila Maidan Incident Dt ... vs Home Secretary And Ors on 23 February, 2012",0,1,3,1
55466355,Shamsher Singh Verma vs State Of Haryana,0,1,2,0
1190717,"State Of Himachal Pradesh & Anr vs Umed Ram Sharma & Ors on 11 February, 1986",0,1,0,5
103942103,Dr. Rini Johar & Anr. vs State Of M.P.&Ors.;,0,1,3,3
964239,"Roop Singh And Others vs The State Of Punjab on 28 August, 1973",0,1,1,0
184449972,Common Cause (A Regd. Society) vs Union Of India,0,1,16,14
122252422,Asha Ranjan vs State Of Bihar And Ors,0,1,19,4
388295,"Naraindas Indurkhya vs The State Of Madhya Pradesh & Ors on 18 March, 1974",0,1,5,2
1781810,"All India Bank Employees vs National Industrial Tribunal & ... on 28 August, 1961",0,1,2,8
1837051,"Jagmohan Singh vs The State Of U. P on 3 October, 1972",0,1,1,15
1406573,"The Bullion And Grain Exchange Ltd. And ... vs The State Of Punjab on 13 September, 1960",0,1,1,0
24661153,"Dr.Mehmood Nayyar Azam vs State Of Chattisgarh And Ors on 3 August, 2012",0,1,2,7
80616728,Mazdoor Kisan Shakti Sanghatan vs Union Of India,0,1,8,0
291828,"Kakinada Annadana Samajam Etc vs Commissioner Of Hindu Religious & ... on 2 December, 1970",0,1,2,0
749305,"Babulal Parate vs State Of Maharashtra And Others on 12 January, 1961",0,1,0,4
80109,"Railway Board, Representing The Union ... vs Niranjan Singh on 4 February, 1969",0,1,0,1
1933483,"Raghubar Dayal Jai Prakash vs The Union Of India And Others on 12 September, 1961",0,1,4,6
766560,State Of Madhya Pradesh Anr vs Thakur Bharat Singh on 23 January 1967,0,1,1,15
463236,"Lalit Narayan Mishra Institute Of ... vs State Of Bihar & Ors. Etc on 23 March, 1988",0,1,3,1
299215,"Charan Lal Sahu Etc. Etc vs Union Of India And Ors on 22 December, 1989",0,1,16,22
117760733,"The State Of Maharashtra And Etc. Etc vs Saeed Sohail Sheikh Etc. Etc on 2 November, 2012",0,1,2,2
185913157,"Mohd. Hussain @ Julfikar Ali vs The State (Govt. Of Nct) Delhi on 11 January, 2012",0,1,2,2
539407,"The Secretary, Ministry Of Information ... vs Cricket Association Of Bengal & Anr on 9 February, 1995",0,1,1,10
140303,"Supreme Court Bar Association & Ors vs B.D. Kaushik on 26 September, 2011",0,1,2,0
155199616,"K.S.Panduranga vs State Of Karnataka on 1 March, 2013",0,1,12,0
110813550,Shreya Singhal vs U.O.I,0,1,11,13
103959,"Joseph Kuruvilla Vellukunnel vs The Reserve Bank Of India And ... on 7 March, 1962",0,1,10,7
1957417,"State Of Bihar vs K. K. Misra & Ors on 29 October, 1969",0,1,2,1
42981709,"Arup Bhuyan vs The State Of Assam Home Department on 24 March, 2023",0,1,19,1
1200243,"Abdul Rehman Antulay & Ors vs R.S. Nayak & Anr on 10 December, 1991",0,1,1,7
1810324,"Keshub Mahindra vs State Of M.P on 13 September, 1996",0,1,0,1
1830726,"The Board Of Trustees, Ayurvedic ... vs The State Of Delhi And Another on 23 October, 1961",0,2,2,7
249146,"Rao Narain Singh (Dead) By L.Rs vs Union Of India on 6 April, 1993",0,2,1,0
337342,"Nagpur Improvement Trust And Another vs Vithal Rao And Others on 11 December, 1972",0,2,0,20
1797705,"Gulabdas & Company & Anr vs Assistant Collector Of Customs & Ors on 25 April, 1957",0,2,0,2
948743,"Gullapalli Nageswara Rao And Others vs Andhra Pradesh State Road ... on 5 November, 1958",0,2,5,10
1778199,"Kunjukutty Sahib Etc. Etc vs State Of Kerala & Anr on 26 April, 1972",0,2,3,4
169098295,63 Moons Technologies Ltd (Formerly ... vs Union Of India,0,2,20,0
1799890,The State Trading Corporation Of India vs The Commercial Tax Officer on 26 July 1963,0,2,2,15
1326449,"Attorney General For India vs Amratlal Prajivandas on 12 May, 1994",0,2,6,9
98039898,"Biswanath Bhattacharya vs Union Of India & Ors on 21 January, 2014",0,2,4,0
834589,"Makhan Singh vs State Of Punjab(And Connected Appeals) on 2 September, 1952",0,2,1,8
1831445,Commissioner Of Expenditure Tax vs Darshan Surendra Parekh on 12 December 1967,0,2,0,1
732598,Vaishanava Dass And Ors vs Faqir Chand And Ors on 7 April 1967,0,2,2,0
1134697,"Union Of India And Another vs Tulsiram Patel And Others on 11 July, 1985",0,2,9,21
114205571,"Property Owners Association vs State Of Maharashtra on 5 November, 2024",0,2,11,0
1964341,Jayantilal Amrit Lal Shodhan vs F N Rana And Others on 5 November 1963,0,2,0,6
1672118,"Commissioner Of Income-Tax, Madhya ... vs M/S. Binodiram Balchand, Indore on 16 December, 1969",0,2,1,0
323060,"Aniyoth Kunhamina Umma vs Ministry Of Rehabilitation Andothers on 22 March, 1961",0,2,0,1
761967,"Basheshar Nath vs The Commissioner Of Income-Tax,Delhi & ... on 19 November, 1958",0,2,4,16
