source,target
1359052,10819484
1359052,52056696
1359052,161831507
1359052,193334482
1359052,45401046
1359052,160697763
1359052,63680568
1359052,27608000
1359052,953835
1359052,1031309
1359052,1953529
1359052,154550360
1359052,967463
1359052,12704
1359052,854390
1359052,1886363
1359052,1403308
1359052,96494
1359052,1229833
1359052,1476698
1359052,134990
1359052,665535
1438487,91098237
1438487,173480990
1438487,143236121
1438487,45036436
1438487,72781027
1438487,166726239
1438487,151350764
1438487,12467180
1438487,155214829
1438487,15118879
1438487,183183666
1438487,185882167
1438487,134498640
1438487,115662423
1438487,31489361
1438487,45810178
1438487,199410781
1438487,12528825
1438487,6555907
1438487,109572098
1438487,66543591
1438487,152383940
1438487,162769085
1438487,126416865
1438487,112905758
1438487,126294691
1438487,120312662
1438487,44979938
1438487,119440847
1438487,73582342
1438487,164344786
1438487,74248832
1438487,17710675
1438487,163162328
1438487,11545584
1438487,61039050
1438487,7708938
1438487,132949123
1438487,50465021
443837,153279772
443837,1353758
443837,258019
443837,727860
443837,1326844
443837,1317063
443837,1985627
443837,722115
443837,516930
443837,1613691
