rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
135,consent,24,154,133,1,informative,LEGAL-CONCEPT,,ISSUE,,"The fact that a pipe laid by a water company along a street in the exercise of its franchise was laid under an agreement, with certain persons who paid the expenses, that they should have the exclusive use of water, and that the company sho"
136,ongc,2,136,128,0,non-informative,,,,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
137,fee,8,171,127,1,informative,MONETARY-VALUATION,,EVIDENCE,,In paragraph 31 the arbitrators have determined their fees and have directed the disputants to bear them equally.
138,a.p.,11,130,126,0,non-informative,CITATION-REF,,,,"Madhavkrishna and v. Chandra Bhaga and , [1997] 2 ; Konda Lakshmana Bapuji v. Government of A.P. and ,"
139,condition,50,245,125,0,non-informative,ASPECT,,,,"From the injury Report of Harjit Singh (A-1), it is pointed out that he was seriously injured and his condition was serious when he was admitted to the hospital."
140,objection,46,152,125,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Else, Sri Sen submits, a controversy regarding fixation of price will be raging eternally as the industries would raise some objection or other to the price fixation, whatever it be, and the interests of the public will suffer if the ONGC i"
141,default,17,133,125,1,informative,LEGAL-CONCEPT,,ISSUE,,"Under cl (4) where such directions are given and ""costs have been incurred in excess of those which would have been incurred in the discharge of the normal duties of the State if such direction had not been given,"" the Government of India m"
142,parliament,16,129,125,1,informative,FORUM-AUTHORITY,,ACTOR,,"But Parliament generally provides for interference only at a stage where in pursuance of social and economic objectives or to discharge duties under the Directive Principles of State Policy, control has to be exercised over the distribution"
143,emphasis,21,134,124,0,non-informative,,,,,(emphasis added)
144,march,36,128,123,0,non-informative,TEMPORAL,,,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
145,report,35,281,123,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Copy of the report of the Forensic Science Laboratory is Ex.
146,exercise,44,205,122,0,non-informative,ASPECT,,,,When deceased fired at him and injured him he fired back at him in exercise of right of private defence of his person.
147,letter,30,162,121,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"The letters ""L/U"" were endorsed on the receipt meaning that the responsibility of loading and unloading rested with the consignor."
148,month,49,125,120,0,non-informative,TEMPORAL,,,,"Since the above proceedings are pending from 1981 we request the High Court to expeditiously hear and dispose of the appeal bearing No. RFA 672/96, preferably within three months from the receipt of this judgment."
149,statute,29,147,120,1,informative,STATUTE-PROVISION,,RULE,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
150,affidavit,22,160,120,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Further affidavits were filed by Madhubhai and by Matubhai the son of Chunilal pointing out the state of the market in regard to these shares.
151,price,20,295,120,1,informative,MONETARY-VALUATION,,EVIDENCE,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
152,change,20,161,120,0,non-informative,,,,,"Here, the Court is dealing with a price to be fixed under a contract between the Oil and Natural Gas Commission and one set of industries in the State who wish to make a change over from the furnance oil system to that of gas supply with a "
153,environment,6,150,120,0,non-informative,,,,,The State authorities obtained environmental clearance for the Omkareshwar project from the Ministry of Environment and Forest on 13.10.1993.
154,complaint,21,159,118,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Respondent no.2, Manisha Poddar filed a complaint on 08.07.2007 before the Chief Judicial Magistrate, Ranchi under sections 498-A, 406, 341, 323 and 120-B of the Indian Penal Code read with sections 3 and 4 of the Dowry Prohibition Act agai"
155,november,31,119,115,0,non-informative,TEMPORAL,,,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
156,death,24,131,115,0,non-informative,ASPECT,,,,"He submits that as has been tried to be proved by the alleged eye-witnesses examined by the prosecution, the incident resulting in death of the deceased happened in two parts."
157,chunilal,1,142,115,0,non-informative,,,,,"On 3-11-1953, another agreement was entered into between the Liquidators and Chunilal Khushaldas Patel, hereinafter referred to as Chunilal, incorporating therein the terms of Clauses (5) and (6) set out above and Chunilal agreed to abide b"
158,corporate debtor,1,115,115,0,non-informative,,,,,"Ltd.6, while stating its capacity as the financial creditor, for being the assignee of the loans and advances disbursed by creditor bank to the corporate debtor, filed the said application under Section 7 of the Code before the Adjudicating"
159,punjab,21,135,114,0,non-informative,,,,,"And vs State Of Punjab on 16 August, 2002"
160,tamil nadu,12,114,114,0,non-informative,,,,,"In support of his contention, he very much relied on the recent decision of this Court in Rekha vs. State of Tamil Nadu ."
161,interest,62,408,113,1,informative,LEGAL-CONCEPT,,ISSUE,,It is also for the court to take into consideration any special features which appear in a particular case to consider whether it is expedient and in the interest of justice to permit a prosecution to continue.
162,principle,55,219,113,1,informative,LEGAL-CONCEPT,,ISSUE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
163,legislature,29,152,113,1,informative,FORUM-AUTHORITY,,ACTOR,,"In this case, the court observed that ends of justice are higher than the ends of mere law though justice must be administered according to laws made by the legislature."
164,statement,40,284,112,0,non-informative,ASPECT,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
165,title,29,165,112,1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,The question of title was not gone into by the trial court.
166,oustee,1,118,112,0,non-informative,,,,,"The High Court direction applied even to those oustees who had already withdrawn the compensation, if such oustees opt for such land and refund 50% of the compensation amount received by them."
167,jurisdiction,46,244,110,1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
168,eviction,17,113,109,0,non-informative,,TENANCY-LEASE,,,"In view of the fact that defendant-Bhagwandas was held to be tenant of Hiralal and after the sale of property by Hiralal to the plaintiff, Bhagwandas held to be tenant of the plaintiff, he initiated the present proceeding against defendant-"
169,liquidators,2,120,109,0,non-informative,,,,,"On 3-11-1953, another agreement was entered into between the Liquidators and Chunilal Khushaldas Patel, hereinafter referred to as Chunilal, incorporating therein the terms of Clauses (5) and (6) set out above and Chunilal agreed to abide b"
170,point,52,178,108,0,non-informative,ASPECT,,,,"Furthermore, the obligation of a public utility, such as a gas, water, or electric company, to supply a given district is inclusive of the duty, under reasonable limitations, to carry the mains or lines of the utility to a point on the cons"
171,partition,9,168,108,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Sub-section (1) of s. 21 provides that the Consolidation Officer shall carry out a re-partition in Roop Chand vs State Of Punjab on 10 October, 1962 accordance with the scheme as confirmed under s. 20."
172,injury,16,172,106,0,non-informative,,,,,Prosecution also examined Gurvinder Singh (PW3) who is also alleged to have been an eyewitness to the incident and received injuries.
173,complainant,12,112,106,0,non-informative,,,,,"He submits that the investigation in the case made by the Investigation Officer was partisan, one sided and did favour to the complainants."
174,hereinafter,48,113,105,0,non-informative,CITATION-REF,,,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
175,paragraph,24,152,105,0,non-informative,CITATION-REF,,,,"When the facts and circumstances of the case are considered in the background of legal principles set out in preceding paragraphs, then it would be unfair to compel the appellants to undergo the rigmarole of a criminal trial."
176,force,47,188,104,0,non-informative,ASPECT,,,,"Failure in this respect may, under sub-s. (3) entitle the railway administration to charge in respect of the carriage of the goods at a rate not exceeding double the hi-best rate which may be in force at the time on the railway for any clas"
177,limitation act,5,104,104,1,informative,STATUTE-PROVISION,PROCEDURE-REMEDY,RULE,,"In this connection, the appellants placed reliance on Section 27 of the Limitation Act, 1963."
178,candidate,3,192,104,0,non-informative,,,,,"EXPLANATION:- For the purpose of this notification, the 'Local Scheduled Tribe Candidate' means, the candidate belonging to the Scheduled Tribes notified as such under article 342 of the Constitution of India and the candidates themselves o"
179,supply,14,140,103,0,non-informative,,,,,"In July 1967, the supply of gas to some of the industries in and around Vadodara city was started, on the basis of individual annual contracts."
180,obligation,34,129,102,1,informative,LEGAL-CONCEPT,,ISSUE,,"In G. Sagar Suri & Another v. State of UP & Others , this court observed that it is the duty and obligation of the criminal court to exercise a great deal of caution in issuing the process particularly when matters are essentially of civil "
181,amendment,26,128,102,1,informative,STATUTE-PROVISION,,RULE,,It also provides that the Consolidation Officer will submit the scheme with the objections and his suggestions with regard to them to the Settlement Officer and for republication of the scheme with such amendments as may have been made.
